Mkt-RF,SMB,HML,RF
3.78,1.48,-0.33,0
0.65,1.21,0.68,0
1.91,-0.34,0.25,0
-1.62,0.75,-0.84,0
-0.61,0.45,-0.11,0
4.12,-0.78,-0.52,0
5.73,0.23,0.56,0
-2.41,1.23,0.36,0
0.41,-1.64,0.29,0
0.43,0.95,-1.14,0
1.23,-0.12,-0.35,0
3.74,0.68,0.24,0
-1.7,0.63,-0.66,0
-2.33,0.53,-0.14,0
-0.5,-0.73,0.24,0
0.55,0.32,-0.11,0
2.65,-0.36,0.52,0
-0.62,0.73,-0.07,0
-1.46,0.07,0.05,0
-1.65,0.46,0.33,0
0.72,-0.5,0.18,0
-2.5,0.27,-0.27,0
-0.31,-1.21,-0.23,0
-0.16,0.92,0.51,0
-1.24,-0.18,0.08,0
2.2,-1.03,-0.24,0
1.21,-0.58,0.54,0
-0.02,0.05,-0.49,0
3.58,-2.34,1.48,0
0.12,1.07,-0.4,0
1.48,-0.64,0.02,0
-1.1,1.6,-0.09,0
0.5,-0.12,0.34,0
-0.56,-0.11,-0.06,0
-1.16,0.51,-0.25,0
-0.03,0.13,-0.01,0
-1.36,0.71,-0.79,0
0.38,-1.07,-0.08,0
0.41,0.14,-0.24,0
-1.52,0.35,-0.82,0
-0.45,-0.31,0.5,0
-1.19,0.5,-0.71,0
0.4,-0.92,0.55,0
-1.2,0.56,-0.52,0
-1.5,0.18,0.43,0
-2.47,-0.3,-0.5,0
-0.21,-0.97,1.09,0
1.18,0.26,-0.03,0
-1.15,-0.28,0.07,0
2.44,-0.56,-0.02,0
-0.05,0.55,0.17,0
-0.97,0.28,-0.27,0
1.94,-0.72,-0.36,0
0.79,-0.07,-0.25,0
-0.33,0.99,-0.61,0
0.31,-0.88,-0.44,0
2.01,-0.56,0.44,0
-0.87,0.51,-0.57,0
-0.31,0.03,0.75,0
-1.81,1.27,-0.44,0
0.72,-1.07,-0.16,0
0.42,0.77,-1.25,0
0.77,-0.61,0.28,0
-0.65,0.07,0.33,0
0.07,0.13,-0.24,0
4.69,-1.42,0.7,0
2.38,0.81,0.33,0
2.77,0.6,0.08,0
2.78,1.08,0.79,0
1.03,0.2,-0.52,0
1.91,-0.48,0.85,0
-0.63,1.91,-0.59,0
-0.28,-0.64,-0.22,0
4.27,-0.17,0.61,0
-1.48,1.26,1.04,0
2.53,-0.93,1.47,0
1.72,0.82,0.97,0
-1.45,0.23,-0.29,0
1.38,0.74,0.05,0
-0.08,1.49,1.3,0
-1.34,0.38,-0.46,0
0.41,-0.43,-0.16,0
-1.53,0.49,-1.14,0
2.34,-0.28,0.96,0
-0.04,2.02,-0.18,0
-1.12,-0.45,-0.47,0
1.19,-0.76,0.51,0
0.88,0.61,0.3,0
1.72,0.62,0.19,0
2.22,-0.29,0.65,0
-0.66,0.26,0.56,0
-0.09,0.36,0.54,0
0.23,0.83,0.31,0
1.37,0,0.31,0
0.51,0.83,-1.31,0
-0.98,0.21,-0.67,0
-2.98,-1.6,-1.17,0
1.59,0.24,0.09,0
-0.8,1.03,-0.42,0
0.32,-0.27,0.3,0
-0.75,-0.71,-0.32,0
0.71,0.17,0.3,0
-0.73,-0.01,-1.25,0
0.51,-0.66,-0.39,0
1.94,-0.01,0.99,0
1.06,0.59,0.37,0
-0.73,-0.3,-0.33,0
-0.66,-0.77,-0.09,0
-0.8,0.21,-0.55,0
-2.27,-0.52,-0.74,0
-1.9,-1.33,-1.43,0
-0.44,-0.28,0.27,0
0.56,0.45,-0.04,0
1.18,-0.17,0.18,0
0.16,0.26,-0.36,0
-0.23,-0.21,-0.33,0
1.37,-0.28,0.59,0
0.14,0.24,0.27,0
-0.44,0.11,-0.45,0
2.13,0.36,0.22,0
0.18,1.17,0.01,0
0.48,-0.31,0.53,0
-0.73,0.46,-0.2,0
-0.99,-0.3,-0.46,0
-3.54,-0.72,-1.24,0
1.15,-0.12,0.38,0
0.11,0.18,-0.74,0
-0.91,-0.62,-0.66,0.001
2.03,-0.52,0.6,0.001
0.9,0.67,0.15,0.001
-1,-0.21,-0.15,0.001
1.26,0.11,0.42,0.001
-0.7,0.33,-0.61,0.001
-1.91,-0.62,-0.44,0.001
-1.06,-0.12,-0.13,0.001
1.05,-0.91,-0.03,0.001
-4.54,0.86,-3.09,0.001
-2.06,-4.95,-1.43,0.001
3.47,0.65,1.49,0.001
-1.87,0.07,-0.74,0.001
-2.24,-0.81,-1.18,0.001
2.71,1.81,1.48,0.001
3.49,0.76,1.05,0.001
0.53,0.57,1.18,0.001
-1.47,0.06,-0.64,0.001
-2.83,-0.92,-1.07,0.001
-0.67,-1.33,0.23,0.001
-2.68,0.13,-1.23,0.001
-0.13,0.49,-0.43,0.001
3.86,0.22,1.73,0.001
3.49,0.65,1.36,0.001
2.75,1.35,1.29,0.001
1.66,0.35,1.33,0
0.81,1.4,-0.72,0
0.01,0.32,-0.52,0
2.82,0.32,2.43,0
-0.26,0.71,-0.14,0
0.04,-0.26,0.59,0
1.01,0.26,1.35,0
-0.22,0.69,-0.58,0
-0.58,-0.07,-0.07,0
2.41,-0.14,0.82,0
-0.55,-0.04,-0.47,0
0.83,-0.4,0.22,0
-1.17,-0.03,-0.59,0
0.97,0.48,0.52,0
-1.18,0.67,-0.02,0
1.22,-1.13,0.64,0
0.23,1.05,0.01,0
1.07,-0.02,0.69,0
0.19,0.26,-0.2,0
0.1,0.43,0.35,0
-0.94,0.16,-0.24,0
0.25,-0.56,0.3,0
-1,-0.06,0.05,0
-0.33,0.24,-0.43,0
0.26,0.52,-0.53,0
-0.26,0.58,0.3,-0.003
0.17,-0.56,0.16,-0.003
0.25,-0.3,1.25,-0.003
-0.2,0.17,-0.58,-0.003
0.29,-0.01,0.04,-0.003
1.57,0.56,0.09,-0.003
2.42,-0.64,0.92,-0.003
-0.37,0.29,-0.44,-0.003
0.49,0.15,0.93,-0.003
-1.73,1.02,-1.06,-0.003
-0.53,-0.58,0.02,-0.003
-2.25,-0.42,-1.03,-0.003
0.87,-0.27,0.29,-0.003
-1.82,-0.8,-0.89,-0.003
0.26,0.14,0.43,-0.003
-0.07,-0.16,-0.6,-0.003
-0.59,0.29,-0.88,-0.003
0.35,-0.34,0.69,-0.003
0.23,0.07,0.18,-0.003
-1.32,-0.15,-1.07,-0.003
-1.66,-1.13,-1.16,-0.003
0.32,0.21,0.01,-0.003
1.98,-0.79,1.4,-0.003
-0.34,0.72,-0.26,0
-0.95,-0.31,-1.29,0
-0.02,0.1,-0.48,0
-0.39,-0.43,-0.48,0
0.63,-0.04,0.67,0
0.26,0.26,-0.44,0
-0.92,-0.57,-1.01,0
-0.54,-0.21,-0.94,0
0.65,-0.43,0.38,0
0.42,-0.09,-0.26,0
0.75,-0.77,0.53,0
2,0.07,0.65,0
0.28,0.48,0.13,0
-0.47,-0.55,-0.9,0
-0.33,-0.35,-0.4,0
-0.58,0.04,-0.15,0
-0.29,-0.81,-0.52,0
-0.79,-0.44,-0.22,0
0.55,-0.76,0.75,0
0.83,0.23,1.12,0
0.41,-0.03,1.12,0
-0.93,-0.35,-0.79,0
0.76,-0.32,0.37,0
2.31,1.16,2.25,0
0.53,0.92,0.25,0
0.41,0.83,0.6,0
-0.7,0.54,-0.42,0
0.93,0.77,1.22,0
-1.06,-0.04,-1.26,0
0.06,-0.15,0.54,0
-0.99,0.13,-0.34,0
-0.91,-0.27,-0.74,0
0.18,0.42,-0.09,0
-1.67,-0.36,-0.93,0
-0.77,-1.02,-0.38,0
-0.57,0.44,-0.47,0
1.99,-0.31,1.74,0
-0.07,0.31,0.04,0
0.53,-0.22,0.08,0
0.03,0.29,0.09,0
0.75,-0.15,0.45,0
-0.15,0.22,-0.3,0
-1.95,-0.05,-1.43,0
-4.02,-0.67,-2.17,0
-0.04,-1.67,0.51,0
-0.22,0.89,-0.44,0
-2.74,-0.59,-1.7,0
2.08,-1.28,0.72,0
-0.26,0.17,-0.41,0
2.38,-0.66,1.09,0
1.34,1.68,0.75,0
-1,0.52,0.14,0
1.84,-0.86,0.63,0
-0.59,0.71,-0.47,0
0.78,0.3,0.26,0
0.34,-0.07,-0.46,0
-0.93,-0.38,-0.57,0
0.95,-0.37,0.85,0
-1.04,0.4,-0.62,0
0.08,-0.62,-0.21,0
0.64,0.13,0.23,0
-0.31,0,-0.67,0
0.21,-0.26,0.21,0
0.96,0.35,0.46,0
-0.55,0.35,-0.81,0
0.67,-0.25,0.87,0
-2.24,0.07,-0.59,0
0.15,-0.37,0.17,0
0.28,0.18,0.23,0
2.07,0.34,1.22,0
0.76,0.47,0.48,0
-0.06,-0.05,0.28,0
0.55,-0.03,1.28,0
-0.08,-0.32,-0.14,0
-0.01,-0.05,-0.23,0
1.25,-0.3,0.48,0
0.21,0.62,-0.17,0
-0.69,0.04,-1.16,0
0.45,-0.11,0.05,0
1.61,-0.1,1.12,0
-0.06,0.66,-0.6,0
0.64,0.22,-0.63,0
-0.37,0.02,-0.97,0
-0.68,-0.11,-0.48,0
0.36,-0.28,0.11,0
-2.34,-0.04,-1.13,0
0.06,0.17,0.29,0
-2.85,-0.86,-1.63,0
-1.7,-0.33,-0.58,0
-0.55,0.11,-0.09,0
1.58,0.04,0.5,0
-2.94,-1.1,-1.28,0
1.08,0.36,0.95,0
1.37,0.49,1,0
-0.3,0.18,-0.65,0
-0.16,0,-0.58,0
-1.35,-0.69,-0.41,0
0.57,0.06,0.53,0
-2.86,-0.16,-1.66,0
-4.71,-3.71,-2.19,0
1.8,-0.57,2.24,0
0.08,1,-0.11,0
-2.02,-0.41,-0.93,0
0.78,0.88,0,0
-3.28,-1.3,-1.16,0
-4.13,-1.47,-2.19,0
1.74,-0.1,1.6,0
-0.19,0.52,1.02,0
2.81,1.86,0.74,0
1.11,0.68,-0.6,0
-1.2,-0.7,-0.83,0
3.07,0.33,2.17,0
-1.81,-0.45,-1.34,0
-1.15,0.67,-0.55,0
1.12,-0.05,-0.17,0
1.18,0.24,0.86,0
0.28,0.67,-0.27,0
-0.05,-0.07,-0.31,0
-0.88,0.04,-0.74,0
0.06,-0.1,0.87,0
0.64,-0.35,-0.25,0
0.9,-0.14,0.14,0
-0.78,0.48,-0.19,0
0.02,0.26,0.17,0
-0.37,0.54,-0.09,0
1.12,0.14,0.29,0
2.04,0.29,0.66,0
-0.11,0.49,-0.24,0
-0.32,-0.11,-0.53,0
0.25,0.22,0.38,0
-0.25,-0.14,-0.11,0
1.65,-0.14,0.81,0
-0.57,0.95,-0.58,0
0.03,-0.3,-0.31,0
-0.49,0.23,0.03,0
0.17,-0.09,-0.48,0
0.18,-0.1,-0.2,0
-2.16,0.11,-0.98,0
-0.69,-0.31,-0.32,0
0.25,0.03,-0.43,0
0.79,0.01,0.36,0
0.66,-0.05,0.64,0
0.81,-0.8,0.02,0
-0.4,0.76,-0.63,0
2.39,-0.26,1.32,0
0.29,0.68,-0.18,0
0.4,-0.04,0.06,0
0.52,0.1,1.14,0
0.72,0.07,0.04,0
-0.24,0.29,-0.05,0
-1.32,-0.23,-0.88,0
0.48,0.11,-0.27,0
0.23,0.34,0,0
-0.04,-0.13,-0.1,0
1.08,-0.26,0.49,0
0.27,0.23,-0.78,0
-0.19,0.04,-0.09,0
1.15,0.12,-0.22,0
-0.04,0.18,-0.15,0
-0.85,-0.07,-0.51,0
-0.58,-0.68,-0.08,0
-0.49,0.15,-0.47,0
-1.92,0.58,-0.86,0
0.04,0,-0.23,0
0.53,0.09,0.31,0
0.72,-0.26,-0.04,0
0.84,-0.13,0.29,0
0.03,0.37,-0.24,0
-0.39,0.1,-0.58,0
0.23,0.24,0.39,0
-0.11,0.42,0.2,0
-1.77,-0.48,-0.82,0
0.24,-0.48,0.5,0
-1.62,0.17,-0.93,0
-2.36,-0.61,-0.92,0
0.43,-0.86,0.19,0
0.96,0.01,0.33,0
0.37,0.36,0.08,0
1.42,-0.76,0.2,0
0.21,0.23,-0.03,0
-0.3,0.06,-0.05,0
-0.01,-0.09,-0.15,0
0.33,-0.22,-0.3,0
0.97,-0.15,0.74,0
1.74,0.72,-0.51,0
0.69,1.36,-0.16,0
-0.49,-0.18,-0.2,0
0.23,-0.32,0.19,0
3.57,0.68,0.51,0
0.73,1.52,0.33,0
-0.95,0.45,-0.77,0
-1.08,-0.3,-0.11,0
1.71,0.44,0.68,0
1.07,0,0.75,0
-0.63,0.45,-0.19,0
-0.41,0.21,-0.08,0
0.57,-0.91,-0.23,0
0.15,0.22,0.58,0
-0.3,0.43,-0.91,0
-0.24,-0.45,-0.02,0
-0.43,-0.03,-0.29,0
0.06,-0.37,-0.02,0
0.86,-0.03,0.54,0
-0.18,0.57,0.06,0
-1.75,-1.05,-0.47,0
0.45,0.21,0.14,0
-1,-0.44,-0.36,0
0.22,0,0.08,0
-0.69,-0.32,-0.25,0
-1.68,-0.34,-0.78,0
0.03,-0.01,0.22,0
0.89,0.09,0.6,0
0.89,0.22,-0.58,0
0.93,0.16,-0.14,0
-2.11,-1.08,-0.05,0
-0.26,-0.38,0.01,0
-1.8,-0.82,-0.34,0
-0.37,0.11,-0.09,0
-2.04,-1.68,-0.12,0
1.55,0.49,-0.48,0
-2.69,-0.85,0.12,0
-0.51,-1.65,-0.1,0
1.98,0.4,-0.14,0
2.18,0.79,0.74,0
-1.76,0.33,-1.12,0
2.14,0.8,0.49,0
-0.48,0.39,0.08,0
-1.5,-0.46,-0.52,0
0.44,-0.49,1.23,0
2.14,4.43,1.04,0
8.79,7.8,9.04,0
-0.62,-0.56,0.52,0
0.29,0.36,-0.43,0
1.97,1.15,1.44,0
0.41,1.29,0.2,0
2.27,2.39,1.82,0
0.62,-0.85,1.15,0
-0.78,0.68,-0.2,0
0.21,0.28,-0.79,0
-0.09,-0.33,-0.05,0
-1.1,-0.73,-0.18,0
-3.11,-1.32,-2.38,0
3.35,1.51,1.82,0
0.1,0.77,0.53,0
0.82,0.55,0.86,0
-0.46,0.12,0.31,0
0.42,-0.1,0.07,0
-0.09,0.68,0.33,0
0.89,-0.03,1.57,0
-0.03,0,0.29,0
-1.35,-0.39,-0.19,0
-0.83,-1.27,-1.04,0
1.94,1.29,1.13,0
-0.88,-0.27,-0.14,0
-0.96,-0.63,-1.38,0
-0.04,-1,-0.09,0
0.35,0.83,-0.5,0
-0.09,0.29,0.5,0
-0.82,-0.95,-0.72,0
0.2,-0.36,-0.58,0
0.46,0.85,0.1,0
0.5,-0.62,0.34,0
-0.5,0.47,-0.46,0
-0.2,-0.53,0.15,0
0.23,-0.13,-0.35,0
2.61,1.84,1.26,0
-0.4,0.2,-0.6,0
-0.06,-0.09,-0.72,0
-0.41,-0.5,-0.34,0
0.67,0.29,0.08,0
-0.19,0.13,-0.12,0
0.29,0.36,-0.84,0
1.06,0.82,0.79,0
-0.66,0.08,-0.34,0
-0.38,-0.55,0.02,0
-0.25,0.31,-0.43,0
-0.13,-0.31,-0.04,0
-0.88,-0.58,-0.32,0
-0.08,-0.56,-0.27,0
0.11,0.44,-0.44,0
0.86,0.53,0.07,0
-0.16,1.41,-0.36,0
-0.6,-0.77,-0.64,0
-0.71,-0.78,-0.59,0
-1.12,-1.1,-0.38,0
0.28,-0.14,-0.88,0
0.02,0.31,-0.21,0
0.61,-0.47,0.51,0
-0.21,0.03,-0.32,0
1.1,0.02,0.09,0
-0.29,0.03,0.07,0
0.34,-0.41,-0.34,0
0.05,-0.05,0.08,0
-0.63,-0.29,-0.45,0
-0.13,-0.37,-0.62,0
-1.11,-0.54,-0.46,0
0.04,-0.58,0.03,0
0.08,0.08,-0.73,0
-0.16,-0.22,-0.27,0
-1.08,-0.74,-0.45,0
-0.9,-1.4,-0.33,0
0.73,0.66,0.05,0
0.11,0.63,0.02,0
-0.11,-0.32,-0.64,0
0.1,-0.23,-0.2,0
1.41,0.79,0.11,0
0.29,0.74,-0.45,0
-0.65,-0.15,-0.18,0
-0.06,0.19,-0.43,0
-0.83,-0.44,-0.83,0
-0.23,-0.55,-0.25,0
1.32,0.56,1.28,0
-0.07,0.18,-1.06,0
0.09,-0.49,-0.31,0
-0.07,-0.13,0.46,0
-0.17,0.05,-0.36,0
-0.26,-0.28,-1.02,0
0.31,-0.38,0,0
0.03,0.06,-0.41,0
0.34,-0.55,0.05,0
0.1,0.26,0.15,0
-0.39,-0.2,-0.89,0
-0.63,-0.7,-0.04,0
0.87,0.76,0.83,0
0.58,0.24,-0.34,0
0.22,0.26,0.43,0
1.07,0.97,0.83,0
1.15,0.92,0.98,0
-0.28,0.18,-0.17,0
-0.52,-0.13,-0.48,0
-0.08,0.34,0.14,0
0.11,0.22,-0.03,0
-0.87,-0.42,-0.62,0
0.15,0.23,0.42,0
-1.34,-0.73,-0.22,0
-1.62,-0.72,-0.36,0
-0.36,-0.31,-0.1,0
-0.39,-0.75,0.35,0
0.65,0.34,-0.3,0
0.21,0.21,-0.08,0
-0.24,-0.43,-0.41,0
0.21,-0.21,-0.7,0
-0.08,0.22,0.2,0
-0.3,-0.05,-0.16,0
0.19,-0.15,-0.48,0
1.17,0.27,0.54,0
-0.42,0.74,-0.27,0
0.01,0.3,-0.8,0
-0.1,0.16,0.82,0
-0.09,-0.07,0,0
-0.41,-0.37,0.06,0
-0.22,-0.25,-0.25,0
-0.05,0.12,0.04,0
0.15,0.46,-0.38,0
0.24,-0.09,0.08,0
-0.38,-0.05,-0.09,0
0.64,-0.22,0.31,0
0.44,0.05,-0.12,0
1.13,0.88,0.77,0
0.25,0.61,0.08,0
-0.18,-0.59,-0.28,0
-0.1,-0.16,-0.6,0
-0.14,-0.12,-0.15,0
0.11,0.5,-0.12,0
0.04,0.17,0.64,0
0.29,0.58,0.32,0
-0.16,-0.09,0.08,0
0.32,-0.25,-0.04,0
-0.08,0.72,0.19,0
-0.48,-0.07,-0.21,0
-0.49,-0.28,-0.45,0
-0.06,-0.61,-0.03,0
-0.15,-0.05,0.33,0
0.13,0.37,-0.39,0
-0.02,0.28,0.23,0
-0.3,-0.08,-0.12,0
0.01,0.17,-0.12,0
0.23,-0.13,0.26,0
0.36,0.29,-0.25,0
0.7,0.66,0.19,0
0.26,0.2,-0.35,0
-0.19,0.28,-0.28,0
0.03,-0.16,0.11,0
0.16,0,-0.16,0
0.03,-0.5,0.17,0
-0.14,-0.19,-0.39,0
-0.07,-0.1,-0.53,0
-1.19,-0.85,0.04,0
-0.48,-0.92,0.01,0
-0.06,-0.13,-0.36,0
0.68,0.47,-0.07,0
0.58,1.18,0.01,0
-0.03,0.35,0.09,0
-0.01,0.32,-0.1,0
-0.2,-0.59,-0.1,0
-0.22,-0.01,-0.13,0
1.27,1.07,0.33,0
-0.15,0.27,-0.18,0
0.37,-0.68,0.16,0
0.44,0.39,0.53,0
-0.16,0.13,-0.37,0
0.25,-0.01,-0.11,0
1.36,0.83,1.39,0
0.71,0.21,0.85,0
-0.28,-0.04,-0.04,0
0.6,0.14,0.4,0
0.11,0.39,0.11,0
-0.75,0.55,-0.45,0
-0.6,-0.31,0.17,0
0.24,0.23,0.23,0
-0.62,0.02,-0.7,0
0.18,0.25,-0.58,0
0.09,1.09,-0.06,0
-1.2,-0.72,-0.45,0
0.26,0.51,0.19,0
-0.74,-0.25,0.14,0
-0.1,-0.19,-0.27,0
0.63,1.03,0.32,0
0.24,0.26,-0.01,0
0.52,0.37,0.01,0
-0.33,-0.07,-0.1,0
0.08,0.12,0.13,0
-0.69,-0.74,-0.38,0
0.14,0.4,-0.27,0
0.23,0.22,0.04,0
0.1,-0.42,-0.35,0
-1.05,-0.57,-0.51,-0.001
0.47,0.47,0.12,-0.001
0.1,0.04,-0.36,-0.001
-0.18,-0.32,0.27,-0.001
-0.11,-0.14,-0.21,-0.001
0.14,-0.21,-0.01,-0.001
0.09,-0.03,0.23,-0.001
0.23,0.08,0.39,-0.001
-2.55,-1.29,-0.35,-0.001
0.11,0.04,0.37,-0.001
-5.58,-4.08,-1.24,-0.001
-7.21,-3.25,-0.48,-0.001
0.46,-1.75,-3.41,-0.001
1.49,3.71,0.57,-0.001
-4.4,-1.47,-0.26,-0.001
-1.94,-0.43,-2.15,-0.001
0.48,1.84,1.16,-0.001
-6.99,-4.93,-1.41,-0.001
0.17,2.02,0.04,-0.001
0.32,-0.35,1.31,-0.001
-0.2,0.85,0.73,-0.001
1.17,1.27,0.55,-0.001
1.72,1.29,0.54,-0.001
-2.4,-2.06,-0.59,-0.001
1.35,1.66,0.97,-0.001
0.42,0.45,-1.04,-0.001
-0.29,0.04,0.23,0
-1.06,0.04,0.24,0
0.96,0.07,0.04,0
-1.67,-0.94,-0.38,0
1.1,0.16,-0.46,0
1.06,0.4,1.04,0
-0.17,-0.02,-0.28,0
-2.94,-0.95,1.05,0
3.8,1.09,-1.16,0
4.81,1.34,1.65,0
-1.63,-0.33,-1.17,0
1.87,0.5,0.35,0
0.84,0.01,0.78,0
-0.66,-1.7,-1.14,0
0.58,1.1,1.19,0
0.35,-0.71,-0.47,0
-0.7,0.09,0.47,0
0.02,-0.01,0.21,0
0.44,-0.28,0.48,0
0.82,-0.61,0.01,0
-2.36,-0.37,0.41,0
-0.66,-1.12,-0.08,0
1.06,0.27,0.69,0
1.29,0.75,0.26,0
-0.07,-0.14,-0.15,0
-0.59,0.2,0.09,0
-0.15,0.17,-0.24,0
0.2,0.06,-0.03,0
0.48,0.27,-0.12,0
0.22,-0.36,0.83,0
-0.2,-0.12,-0.47,0
-0.17,-0.24,0.52,0
0.05,-0.01,0.03,0
0.07,0.21,-0.01,0
-0.08,0.06,-0.47,0
0.06,0.06,0.19,0
0.33,0.13,-0.25,0
0.99,0.35,0.1,0
-0.22,0.32,-0.65,0
0.13,-0.31,-0.22,0
-0.64,0.43,0.01,0
-0.21,0.07,-0.14,0
-0.05,-0.17,0.3,0
0.07,-0.42,0.04,0
-0.44,0.07,0.01,0
0.06,-0.21,-0.14,0
0.37,-0.08,0.14,0
0.19,0.24,-0.15,0
0.53,-0.59,0.18,0
2.2,0.19,0.39,0
-0.05,0.66,-0.63,0
-0.1,0.16,-0.51,0
0.02,-0.06,-0.1,0
0.08,0.08,0.23,0
-0.12,-0.21,-0.44,0
-0.75,0,0.25,0
-0.16,-0.26,0.03,0
0.13,-0.02,-0.46,0
0.64,-0.25,0.26,0
0.58,-0.13,0,0
0.2,-0.67,0.02,0
-3.16,0.4,-0.69,0
-0.37,-0.01,0.12,0
0.6,0.23,-0.17,0
-1.41,-0.03,0.23,0
0.71,-0.15,0.15,0
0.02,-0.01,-0.17,0
0.97,-0.67,0.29,0
1.37,0.15,-0.27,0
0.83,0.41,0.04,0
-1.07,0.07,-0.46,0
0.19,-0.11,0.17,0
0.06,-0.12,-0.13,0
-0.12,0,0.27,0
1.21,0.1,0.76,0
-0.18,-0.06,-0.19,0
1.6,0.33,0.79,0
0.56,0.68,0.61,0
0.32,0.55,0.2,0
1.65,-0.31,0.19,0
1.7,1.14,0.95,0
-0.41,0.28,-0.67,0
-0.16,-0.01,0.18,0
-2.36,-0.97,-0.75,0
-0.1,0.2,-0.49,0
-0.53,0.4,-0.18,0
-1.12,-0.12,-0.86,0
0.09,-0.2,0.34,0
0.56,-0.05,0.35,0
0.65,0.06,0.13,0
0.77,-0.28,0.06,0
0.67,0.23,-0.04,0
-0.07,0.2,0.05,0
0,-0.01,-0.39,0
0.61,0.6,0.62,0
1.95,0.8,0.86,0
-0.25,0.24,-0.59,0
-0.15,0.01,-0.12,0
-0.54,-0.17,-0.59,0
-1.57,-0.1,-1.53,0
0.63,0.33,0.54,0
0.15,0.34,0.79,0
1.23,0.26,0.47,0
0.42,0.3,1.24,0
0.11,0.4,-0.38,0
-0.63,-0.42,-0.24,0
0.09,-0.01,0.16,0
-0.45,0.21,0.06,0
-1.39,-0.38,-0.64,0
-0.54,-0.23,0.05,0
-0.05,0.35,0.24,0
0.52,-0.15,-0.01,0
-0.28,0.76,0.06,0
0.45,-1.3,-0.06,0
0.53,0.76,0.01,0
0.5,-0.23,0.42,0
0.04,0.1,0.79,0
-0.11,0.23,-0.15,0
-0.53,0.28,0.16,0
0.45,-0.34,0.42,0
0.61,0.29,0.35,0
-0.54,-0.08,0.02,0
-0.04,-0.17,0.48,0
0.81,-0.12,0.05,0
-0.28,-0.23,-0.18,0
0.25,0.06,0.09,0
0.64,-0.41,0.34,0
1.24,0.4,0.77,0
0.1,0.39,-0.13,0
0.34,-0.58,0.28,0
0.28,-0.16,-0.16,0
-2.85,0.85,-1.84,0
4.78,1.4,3.09,0
-0.58,0.46,0.03,0
1.37,0.71,0.61,0
-0.45,-0.2,0.21,0
-0.41,-0.05,0.2,0
0.48,-0.08,0.79,0
-1,-0.03,-0.5,0
-0.74,-0.34,-0.32,0
-0.03,0.19,-0.11,0
-0.08,-0.18,-0.13,0
-1.78,-0.16,-1.03,0
0.17,0.18,0.82,0
-0.02,-0.04,0.24,0
-0.01,-0.07,0.03,0
-0.28,0.12,-0.48,0
-1.62,-0.41,-1.48,0
0.23,0.24,0.71,0
0.12,-0.45,0.12,0
0.56,0.24,-0.45,0
-0.04,0.27,-0.22,0
-0.28,-0.19,-0.53,0
0.02,-0.12,-0.62,0
-0.29,-0.36,0.1,0
0.24,-0.2,-0.03,0
0.73,0.32,0.03,0
0.13,0.04,-0.31,0
-0.06,-0.23,-0.2,0
0.29,0.21,0.36,0
0.26,-0.23,0.16,0
0.21,0.06,0.92,0
0.01,-0.3,-0.27,0
-0.79,-0.27,-0.58,0
-0.42,-0.36,-0.23,0
-0.7,-0.14,-0.41,0
-0.36,-0.42,0.06,0
0.06,0.08,-0.18,0
0.1,0.05,0.29,0
-0.38,0.45,-0.29,0
0.42,-0.71,0.41,0
-0.1,0.26,-0.4,0
0.37,-0.65,0.37,0
0.36,-0.02,-0.04,0
0.62,0.07,0.23,0
0.3,0.19,0.47,0
-0.34,0.9,0.35,0
1.25,-0.47,0.88,0
0.24,0.86,0.3,0
0.31,0.75,0.02,0
-0.14,-0.16,-0.3,0
0.28,0,1.21,0
0.49,-0.24,1.78,0
0.21,0.6,-0.09,0
-0.2,0.1,-0.27,0
-0.12,0.08,0.09,0
-0.46,-0.38,0,0
-0.57,0.45,-0.25,0
-1.26,-0.07,-0.65,0
-0.16,-0.68,0.52,0
0.02,0.48,0.04,0
-0.27,0.5,-0.41,0
-0.79,-0.51,0.56,0
0.47,-0.18,0.86,0
-0.01,0.29,0.07,0
0.19,-0.15,0,0
0.25,-0.15,0.12,0
0.02,0.17,0.24,0
-0.45,-0.01,-0.2,0
-1.73,-0.04,-0.76,0
-1.53,-0.96,-0.89,0
0.06,-0.13,0.81,0
-0.57,-0.2,-0.68,0
-0.55,-0.25,-0.51,0
-0.1,-0.13,1.07,0
1.46,0.12,0.95,0
0.38,0.23,-0.12,0
-0.16,-0.11,-0.16,0
0.2,0.16,-0.31,0
-0.21,0.22,0.39,0
-1.11,0.18,-0.97,0
-1.38,-1.29,0.08,0
-2.71,-0.64,-0.58,0
0.45,-0.28,0.26,0
0.52,0.43,0.33,0
-0.3,-0.14,-0.11,0
-1,-0.66,-0.4,0
1.63,0.53,0.71,0
0.5,-0.03,0.24,0
0.85,-0.34,0.06,0
0.63,0.08,-0.52,0
0.06,0.61,0.28,0
-0.34,-0.29,0.35,0
0.38,0.29,0.64,0
-0.22,0.53,-0.32,0
-0.83,-0.27,-0.55,0
0.39,-0.38,0.67,0
-0.34,0.76,0.05,0
1.34,-0.55,0.43,0
-0.23,0.64,-0.41,0
0.04,-0.21,0.47,0
1.65,0.6,0.24,0
-0.42,0.45,-0.34,0
-0.1,-0.2,-0.09,0
-0.38,0.16,-0.17,0
0.1,-0.13,0.18,0
0.59,0.25,0.63,0
0.01,-0.04,0.14,0
0.18,-0.07,0.23,0
-0.21,0.25,0.01,0
-0.01,-0.42,0.38,0
-0.76,-0.01,-0.63,0
